pid,name,cpu_usage,memory_usage,read_bytes,write_bytes,status,create_time,nice,n_threads,cores
21024,CyOptics,52.2,96.91MB,0.00B,0.00B,running,2020-05-24 08:32:19,0,38,0
326,mds_stores,26.1,0.00B,0.00B,0.00B,running,2020-05-21 20:33:06,0,6,0
274,WindowServer,25.8,0.00B,0.00B,0.00B,running,2020-05-21 20:33:02,0,10,0
22501,zoom.us,24.5,0.00B,0.00B,0.00B,running,2020-05-26 09:47:15,0,38,0
20510,python3.6,20.4,64.60MB,0.00B,0.00B,running,2020-05-28 15:33:43,0,2,0
29276,Teams,10.6,0.00B,0.00B,0.00B,running,2020-05-26 08:45:12,0,40,0
21024,CyOptics,49.6,96.39MB,0.00B,0.00B,running,2020-05-24 08:32:19,0,38,0
274,WindowServer,37.3,0.00B,0.00B,0.00B,running,2020-05-21 20:33:02,0,11,0
22501,zoom.us,29.7,0.00B,0.00B,0.00B,running,2020-05-26 09:47:15,0,38,0
123,nxtsvc,17.6,0.00B,0.00B,0.00B,running,2020-05-21 20:33:00,0,9,0
29276,Teams,11.0,0.00B,0.00B,0.00B,running,2020-05-26 08:45:12,0,39,0
83712,python3.7,11.0,28.32MB,0.00B,0.00B,running,2020-05-26 18:28:39,0,12,0
21024,CyOptics,55.6,96.39MB,0.00B,0.00B,running,2020-05-24 08:32:19,0,38,0
274,WindowServer,35.6,0.00B,0.00B,0.00B,running,2020-05-21 20:33:02,0,10,0
22501,zoom.us,23.3,0.00B,0.00B,0.00B,running,2020-05-26 09:47:15,0,33,0
123,nxtsvc,11.1,0.00B,0.00B,0.00B,running,2020-05-21 20:33:00,0,9,0
29276,Teams,10.4,0.00B,0.00B,0.00B,running,2020-05-26 08:45:12,0,39,0
83712,python3.7,10.1,28.32MB,0.00B,0.00B,running,2020-05-26 18:28:39,0,12,0
21024,CyOptics,56.8,96.38MB,0.00B,0.00B,running,2020-05-24 08:32:19,0,37,0
274,WindowServer,35.1,0.00B,0.00B,0.00B,running,2020-05-21 20:33:02,0,9,0
22501,zoom.us,25.3,0.00B,0.00B,0.00B,running,2020-05-26 09:47:15,0,33,0
123,nxtsvc,12.0,0.00B,0.00B,0.00B,running,2020-05-21 20:33:00,0,9,0
29276,Teams,10.8,0.00B,0.00B,0.00B,running,2020-05-26 08:45:12,0,40,0
72576,com.docker.hyperkit,10.6,0.00B,0.00B,0.00B,running,2020-05-21 22:24:35,0,16,0
83712,python3.7,10.1,28.32MB,0.00B,0.00B,running,2020-05-26 18:28:39,0,12,0
21024,CyOptics,75.8,96.39MB,0.00B,0.00B,running,2020-05-24 08:32:19,0,38,0
274,WindowServer,33.8,0.00B,0.00B,0.00B,running,2020-05-21 20:33:02,0,10,0
22501,zoom.us,24.0,0.00B,0.00B,0.00B,running,2020-05-26 09:47:15,0,32,0
123,nxtsvc,17.7,0.00B,0.00B,0.00B,running,2020-05-21 20:33:00,0,9,0
29276,Teams,10.4,0.00B,0.00B,0.00B,running,2020-05-26 08:45:12,0,39,0
21024,CyOptics,100.9,96.41MB,0.00B,0.00B,running,2020-05-24 08:32:19,0,38,0
274,WindowServer,32.9,0.00B,0.00B,0.00B,running,2020-05-21 20:33:02,0,10,0
22501,zoom.us,22.3,0.00B,0.00B,0.00B,running,2020-05-26 09:47:15,0,32,0
29276,Teams,11.1,0.00B,0.00B,0.00B,running,2020-05-26 08:45:12,0,39,0
123,nxtsvc,10.9,0.00B,0.00B,0.00B,running,2020-05-21 20:33:00,0,9,0
83712,python3.7,10.2,28.32MB,0.00B,0.00B,running,2020-05-26 18:28:39,0,12,0
21024,CyOptics,57.8,96.43MB,0.00B,0.00B,running,2020-05-24 08:32:19,0,38,0
274,WindowServer,38.9,0.00B,0.00B,0.00B,running,2020-05-21 20:33:02,0,10,0
22501,zoom.us,24.5,0.00B,0.00B,0.00B,running,2020-05-26 09:47:15,0,32,0
123,nxtsvc,17.2,0.00B,0.00B,0.00B,running,2020-05-21 20:33:00,0,9,0
29276,Teams,10.4,0.00B,0.00B,0.00B,running,2020-05-26 08:45:12,0,39,0
